|       t |         S |         I |         R |
|       0 |       300 |       100 |         0 |
|     0.1 |     255.3 |    134.92 |        10 |
|     0.2 |    204.46 |   172.987 |    22.986 |
|     0.3 |   152.914 |   208.602 |   39.1216 |
|     0.4 |   107.414 |    235.42 |   58.0023 |
|     0.5 |   72.8026 |   249.616 |   78.6093 |
|     0.6 |   49.9148 |    251.71 |   99.5934 |
|     0.7 |   36.5029 |   245.179 |   119.725 |
|     0.8 |    29.527 |   233.885 |   138.185 |
|     0.9 |    26.544 |   220.664 |   154.581 |
|       1 |   25.9558 |   207.202 |   168.826 |
|     1.1 |   26.7997 |   194.378 |   181.003 |
|     1.2 |   28.5061 |   182.593 |   191.282 |
|     1.3 |    30.733 |   171.987 |   199.863 |
|     1.4 |    33.268 |   162.571 |   206.948 |
|     1.5 |   35.9733 |   154.286 |   212.734 |
|     1.6 |   38.7555 |   147.047 |   217.398 |
|     1.7 |   41.5482 |   140.758 |   221.103 |
|     1.8 |   44.3027 |   135.326 |   223.991 |
|     1.9 |   46.9819 |   130.659 |   226.189 |
|       2 |   49.5571 |   126.674 |    227.81 |
|     2.1 |   52.0062 |   123.297 |    228.95 |
|     2.2 |    54.312 |   120.459 |   229.695 |
|     2.3 |   56.4618 |   118.099 |   230.118 |
|     2.4 |   58.4465 |   116.162 |   230.284 |
|     2.5 |   60.2602 |   114.599 |   230.248 |
|     2.6 |   61.9004 |   113.363 |   230.057 |
|     2.7 |    63.367 |   112.415 |   229.753 |
|     2.8 |   64.6626 |   111.718 |   229.369 |
|     2.9 |   65.7921 |   111.237 |   228.935 |
|       3 |   66.7622 |   110.941 |   228.474 |
|     3.1 |   67.5814 |   110.803 |   228.007 |
|     3.2 |   68.2597 |   110.795 |   227.551 |
|     3.3 |   68.8082 |   110.895 |   227.116 |
|     3.4 |   69.2386 |   111.081 |   226.714 |
|     3.5 |   69.5635 |   111.333 |    226.35 |
|     3.6 |   69.7954 |   111.635 |    226.03 |
|     3.7 |   69.9469 |    111.97 |   225.756 |
|     3.8 |   70.0301 |   112.326 |    225.53 |
|     3.9 |   70.0569 |   112.691 |   225.351 |
|       4 |   70.0381 |   113.056 |   225.217 |
|     4.1 |   69.9839 |   113.413 |   225.127 |
|     4.2 |   69.9036 |   113.756 |   225.077 |
|     4.3 |   69.8052 |    114.08 |   225.064 |
|     4.4 |   69.6959 |   114.381 |   225.083 |
|     4.5 |   69.5817 |   114.658 |   225.132 |
|     4.6 |   69.4678 |   114.909 |   225.206 |
|     4.7 |   69.3583 |   115.135 |   225.302 |
|     4.8 |   69.2563 |   115.334 |   225.415 |
|     4.9 |   69.1643 |    115.51 |   225.542 |
|       5 |    69.084 |   115.662 |   225.681 |
|     5.1 |   69.0165 |   115.794 |   225.828 |
|     5.2 |   68.9624 |   115.906 |    225.98 |
|     5.3 |   68.9217 |   116.001 |   226.136 |
|     5.4 |   68.8943 |   116.081 |   226.294 |
|     5.5 |   68.8797 |   116.148 |   226.451 |
|     5.6 |   68.8771 |   116.204 |   226.608 |
|     5.7 |   68.8856 |   116.251 |   226.762 |
|     5.8 |   68.9044 |   116.291 |   226.913 |
|     5.9 |   68.9323 |   116.325 |    227.06 |
|       6 |   68.9685 |   116.355 |   227.203 |
|     6.1 |   69.0118 |   116.382 |   227.342 |
|     6.2 |   69.0613 |   116.407 |   227.477 |
|     6.3 |    69.116 |   116.431 |   227.607 |
|     6.4 |   69.1752 |   116.454 |   227.734 |
|     6.5 |   69.2381 |   116.478 |   227.856 |
|     6.6 |   69.3039 |   116.502 |   227.974 |
|     6.7 |   69.3721 |   116.528 |   228.089 |
|     6.8 |   69.4421 |   116.555 |     228.2 |
|     6.9 |   69.5135 |   116.583 |   228.309 |
|       7 |    69.586 |   116.613 |   228.415 |
|     7.1 |   69.6592 |   116.644 |   228.518 |
|     7.2 |   69.7329 |   116.677 |    228.62 |
|     7.3 |    69.807 |   116.711 |   228.719 |
|     7.4 |   69.8813 |   116.746 |   228.817 |
|     7.5 |   69.9557 |   116.782 |   228.913 |
|     7.6 |   70.0302 |    116.82 |   229.009 |
|     7.7 |   70.1048 |   116.858 |   229.103 |
|     7.8 |   70.1795 |   116.897 |   229.196 |
|     7.9 |   70.2543 |   116.937 |   229.288 |
|       8 |   70.3293 |   116.977 |    229.38 |
|     8.1 |   70.4046 |   117.017 |   229.471 |
|     8.2 |   70.4801 |   117.058 |   229.562 |
|     8.3 |   70.5561 |   117.098 |   229.652 |
|     8.4 |   70.6325 |   117.139 |   229.741 |
|     8.5 |   70.7094 |   117.179 |    229.83 |
|     8.6 |   70.7869 |   117.219 |   229.918 |
|     8.7 |   70.8652 |   117.258 |   230.006 |
|     8.8 |   70.9441 |   117.297 |   230.094 |
|     8.9 |   71.0239 |   117.336 |   230.181 |
|       9 |   71.1045 |   117.375 |   230.267 |
|     9.1 |    71.186 |   117.412 |   230.353 |
|     9.2 |   71.2685 |    117.45 |   230.439 |
|     9.3 |    71.352 |   117.486 |   230.523 |
|     9.4 |   71.4365 |   117.523 |   230.608 |
|     9.5 |    71.522 |   117.558 |   230.691 |
|     9.6 |   71.6086 |   117.594 |   230.774 |
|     9.7 |   71.6962 |   117.628 |   230.856 |
|     9.8 |    71.785 |   117.662 |   230.938 |
|     9.9 |   71.8749 |   117.696 |   231.018 |
|      10 |   71.9658 |   117.729 |   231.099 |
|    10.1 |   72.0579 |   117.762 |   231.178 |
|    10.2 |   72.1512 |   117.794 |   231.256 |
|    10.3 |   72.2455 |   117.825 |   231.334 |
|    10.4 |    72.341 |   117.856 |   231.411 |
|    10.5 |   72.4376 |   117.887 |   231.487 |
|    10.6 |   72.5353 |   117.917 |   231.563 |
